run_label,philly_legacy,saturn_legacy,geomean,policy_display
exclusive,1.0,1.0,1.0,Exclusive
memory_only_interference,1.5169941779599374,2.489364284745075,1.9432835940180433,Memory-only
fixed_smi80,1.319916516522716,1.191757970057941,1.2542013508113683,AEGIS-SMI80
fixed_smi70,1.2734198278311493,1.198387356325096,1.2353340523787604,AEGIS-SMI70
fixed_smi60,,1.1097323670445007,1.1097323670445007,AEGIS-SMI60
