spec_name,spec_path,spec_key,peak_memory_mib,memory_fraction,horus_gpu_util_mean,horus_gpu_util_p95,horus_gpu_util_max,avg_smact,avg_smocc,avg_drama,amp_enabled,representative_spec_path,lucid_mean_normalized_speed,lucid_std_normalized_speed,lucid_min_normalized_speed,lucid_max_normalized_speed,lucid_num_pair_observations,lucid_class,lucid_ss,lucid_label_source,lucid_label_usable,lucid_final_ss,lucid_final_class,lucid_final_label_source,lucid_pred_proba_ss0,lucid_pred_proba_ss1,lucid_pred_proba_ss2
resnet18_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_20e_1gpu.yaml,resnet18_cifar100_bs64_20e_1gpu.yaml,514,0.0456321022727272,38.48603351955308,48.1,55.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_20e_1gpu.yaml,0.9861852622688746,0.0138147377311254,0.9723705245377492,1.0,2.0,tiny,0.0,insufficient_pairwise,False,0.0,tiny,low_coverage_pairwise,0.965,0.02,0.015
resnet18_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,resnet18_cifar100_bs64_50e_1gpu.yaml,514,0.0456321022727272,38.174157303370784,48.150000000000006,51.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,0.9931498891510272,0.0137002216979454,0.9657494457551364,1.0,5.0,tiny,0.0,measured_pairwise,True,0.0,tiny,measured_pairwise,0.965,0.02,0.015
resnet34_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_20e_1gpu.yaml,resnet34_cifar100_bs128_20e_1gpu.yaml,684,0.0607244318181818,56.99438202247191,75.15,80.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_20e_1gpu.yaml,0.9717263405614388,0.0399849926359311,0.9151790216843168,1.0,3.0,tiny,0.0,measured_pairwise,True,0.0,tiny,measured_pairwise,0.72,0.25,0.03
resnet34_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_50e_1gpu.yaml,resnet34_cifar100_bs128_50e_1gpu.yaml,684,0.0607244318181818,56.0225988700565,72.0,75.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_50e_1gpu.yaml,0.9270882772849388,0.0476525082799089,0.8672083920058908,1.0,4.0,medium,1.0,measured_pairwise,True,1.0,medium,measured_pairwise,0.28,0.69,0.03
resnet34_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_20e_1gpu.yaml,resnet34_cifar100_bs32_20e_1gpu.yaml,686,0.0609019886363636,35.76966292134831,45.0,50.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_20e_1gpu.yaml,0.993593006667798,0.0090608568644342,0.9807790200033936,1.0,3.0,tiny,0.0,measured_pairwise,True,0.0,tiny,measured_pairwise,0.735,0.03,0.235
resnet34_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,resnet34_cifar100_bs32_50e_1gpu.yaml,686,0.0609019886363636,36.62359550561798,49.0,51.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,0.7991521864286546,0.1082345981569989,0.6932506872709097,1.0,5.0,jumbo,2.0,measured_pairwise,True,2.0,jumbo,measured_pairwise,0.355,0.03,0.615
resnet34_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_20e_1gpu.yaml,resnet34_cifar100_bs64_20e_1gpu.yaml,688,0.0610795454545454,43.51685393258427,56.0,60.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_20e_1gpu.yaml,0.9876928556699098,0.0123071443300902,0.9753857113398195,1.0,2.0,tiny,0.0,insufficient_pairwise,False,0.0,tiny,low_coverage_pairwise,0.765,0.015,0.22
resnet34_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_50e_1gpu.yaml,resnet34_cifar100_bs64_50e_1gpu.yaml,688,0.0610795454545454,42.20224719101124,54.150000000000006,64.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_50e_1gpu.yaml,1.0,0.0,1.0,1.0,3.0,tiny,0.0,measured_pairwise,True,0.0,tiny,measured_pairwise,0.765,0.015,0.22
resnet50_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs32_1gpu.yaml,resnet50_imagenet_bs32_1gpu.yaml,3560,0.3160511363636363,88.57865168539325,92.0,92.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs32_1gpu.yaml,0.928738678084486,0.0,0.928738678084486,0.928738678084486,1.0,medium,1.0,insufficient_pairwise,False,1.0,medium,low_coverage_pairwise,0.02,0.19,0.79
resnet50_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs64_1gpu.yaml,resnet50_imagenet_bs64_1gpu.yaml,6728,0.5973011363636364,88.90449438202248,94.0,94.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs64_1gpu.yaml,0.8077081384990328,0.1304923521450576,0.6772157863539752,0.9382004906440904,2.0,jumbo,2.0,insufficient_pairwise,False,2.0,jumbo,low_coverage_pairwise,0.02,0.085,0.895
unet_voc_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/unet_voc_1gpu.yaml,unet_voc_1gpu.yaml,5378,0.4774502840909091,50.88268156424581,100.0,100.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/unet_voc_1gpu.yaml,0.7642334208589043,0.1423650278714588,0.6218683929874456,0.9065984487303632,2.0,jumbo,2.0,insufficient_pairwise,False,2.0,jumbo,low_coverage_pairwise,0.12,0.235,0.645
vgg16_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/vgg16_imagenet_bs32_1gpu.yaml,vgg16_imagenet_bs32_1gpu.yaml,7072,0.6278409090909091,91.20224719101124,95.0,96.0,,,,0,,,,,,,,,,,2.0,jumbo,predicted_classifier_legacy_nvidia_smi,0.02,0.085,0.895
xception_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/xception_imagenet_bs32_1gpu.yaml,xception_imagenet_bs32_1gpu.yaml,5382,0.4778053977272727,90.50561797752808,94.0,94.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/xception_imagenet_bs32_1gpu.yaml,0.6725768421766861,0.0,0.6725768421766861,0.6725768421766861,1.0,jumbo,2.0,insufficient_pairwise,False,2.0,jumbo,low_coverage_pairwise,0.02,0.085,0.895
