experiment_name,run_label,policy,estimator,trace_csv,run_dir,task_id,task_file,submitted_at,first_dispatched_at,first_launched_at,final_successful_launch_at,completed_at,initial_queue_wait_s,total_queue_wait_s,jct_s,execution_span_s,successful_attempt_runtime_s,dispatch_count,launch_count,recovered_dispatch_count,maximum_recovery_count,recovery_stopped_count,completed_successfully,attempt_count,failed_attempt_count,recovered_attempt_count,total_attempt_runtime_s,total_execution_time_s,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,configuration_label
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,14439954-ec42-4ca8-8881-020c34895bf9,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_20e_1gpu.yaml,2026-06-18 02:20:15.493902+00:00,2026-06-18 02:20:16.260318+00:00,2026-06-18 02:20:16.283624+00:00,2026-06-18 02:20:16.283624+00:00,2026-06-18 02:23:34.302397+00:00,0.766416,0.766416,198.808495,198.018773,198.018773,1,1,0,0,0,True,1,0,0,198.018773,198.018773,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,d9f1b18d-79ec-4d06-86e6-68a87628faa4,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_20e_1gpu.yaml,2026-06-18 02:20:17.494727+00:00,2026-06-18 02:20:18.193051+00:00,2026-06-18 02:20:18.216029+00:00,2026-06-18 02:20:18.216029+00:00,2026-06-18 02:29:52.105178+00:00,0.698324,0.698324,574.610451,573.889149,573.889149,1,1,0,0,0,True,1,0,0,573.889149,573.889149,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,45e33c9e-2c0b-4179-b6b2-1dd181a29220,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs128_1gpu.yaml,2026-06-18 02:20:26.495214+00:00,2026-06-18 02:20:28.008131+00:00,2026-06-18 02:20:28.032548+00:00,2026-06-18 02:20:28.032548+00:00,2026-06-18 03:21:08.601935+00:00,1.512917,1.512917,3642.106721,3640.569387,3640.569387,1,1,0,0,0,True,1,0,0,3640.569387,3640.569387,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,c8232027-b1c8-42f2-9144-a586dd95a22f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_20e_1gpu.yaml,2026-06-18 02:24:15.496865+00:00,2026-06-18 02:24:16.873401+00:00,2026-06-18 02:24:16.896627+00:00,2026-06-18 02:24:16.896627+00:00,2026-06-18 02:42:56.528881+00:00,1.376536,1.376536,1121.032016,1119.632254,1119.632254,1,1,0,0,0,True,1,0,0,1119.632254,1119.632254,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,26eae474-cf78-4807-ad4a-6492ad80e3bd,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,2026-06-18 02:26:06.497417+00:00,2026-06-18 02:26:07.270402+00:00,2026-06-18 02:26:07.289412+00:00,2026-06-18 02:26:07.289412+00:00,2026-06-18 02:53:17.570466+00:00,0.772985,0.772985,1631.073049,1630.281054,1630.281054,1,1,0,0,0,True,1,0,0,1630.281054,1630.281054,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,166d4744-8c16-415f-8430-458c84c2e911,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs64_1gpu.yaml,2026-06-18 02:26:06.497925+00:00,2026-06-18 02:26:09.718531+00:00,2026-06-18 02:26:09.741227+00:00,2026-06-18 02:26:09.741227+00:00,2026-06-18 03:10:53.569735+00:00,3.220606,3.220606,2687.07181,2683.828508,2683.828508,1,1,0,0,0,True,1,0,0,2683.828508,2683.828508,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,4b8b41a1-d4ca-4164-bda9-4c8726a06206,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,2026-06-18 02:26:06.498311+00:00,2026-06-18 02:26:17.904319+00:00,2026-06-18 02:26:17.928123+00:00,2026-06-18 02:26:17.928123+00:00,2026-06-18 03:08:55.670673+00:00,11.406008,11.406008,2569.172362,2557.74255,2557.74255,1,1,0,0,0,True,1,0,0,2557.74255,2557.74255,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,57c0c144-9f81-465b-aaa4-35c0bcc7fbf0,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,2026-06-18 02:26:06.498677+00:00,2026-06-18 02:26:46.107907+00:00,2026-06-18 02:26:46.130627+00:00,2026-06-18 02:26:46.130627+00:00,2026-06-18 03:05:25.352421+00:00,39.60923,39.60923,2358.853744,2319.221794,2319.221794,1,1,0,0,0,True,1,0,0,2319.221794,2319.221794,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,5b90f966-5748-49cb-91b3-fce77327309d,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,2026-06-18 02:26:06.499012+00:00,2026-06-18 02:26:51.793964+00:00,2026-06-18 02:26:51.818437+00:00,2026-06-18 02:26:51.818437+00:00,2026-06-18 03:25:11.285711+00:00,45.294952,45.294952,3544.786699,3499.467274,3499.467274,1,1,0,0,0,True,1,0,0,3499.467274,3499.467274,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,82dc9b4e-5bfb-4334-9c8a-7d92f3217302,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,2026-06-18 02:26:06.499388+00:00,2026-06-18 02:27:28.286439+00:00,2026-06-18 02:27:28.310642+00:00,2026-06-18 02:27:28.310642+00:00,2026-06-18 03:15:41.116559+00:00,81.787051,81.787051,2974.617171,2892.805917,2892.805917,1,1,0,0,0,True,1,0,0,2892.805917,2892.805917,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,99702ced-f961-45a0-b9e5-593eeec9012c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,2026-06-18 02:26:06.499738+00:00,2026-06-18 02:30:16.044466+00:00,2026-06-18 02:30:16.067731+00:00,2026-06-18 02:30:16.067731+00:00,2026-06-18 03:16:05.169753+00:00,249.544728,249.544728,2998.670015,2749.102022,2749.102022,1,1,0,0,0,True,1,0,0,2749.102022,2749.102022,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,e67feb44-a2e5-4a30-8cec-c5114e5ac095,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,2026-06-18 02:26:06.500072+00:00,2026-06-18 03:04:31.921881+00:00,2026-06-18 03:04:31.944688+00:00,2026-06-18 03:04:31.944688+00:00,2026-06-18 03:38:47.646138+00:00,2305.421809,2305.421809,4361.146066,2055.70145,2055.70145,1,1,0,0,0,True,1,0,0,2055.70145,2055.70145,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,84bb6b4f-d004-43d2-92ab-5f3b0afeee0d,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_20e_1gpu.yaml,2026-06-18 02:26:06.500401+00:00,2026-06-18 03:09:47.234103+00:00,2026-06-18 03:09:47.253950+00:00,2026-06-18 03:09:47.253950+00:00,2026-06-18 03:33:12.521883+00:00,2620.733702,2620.733702,4026.021482,1405.267933,1405.267933,1,1,0,0,0,True,1,0,0,1405.267933,1405.267933,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,878e214a-4604-49f7-bb51-8a3d16d2dd5f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,2026-06-18 02:26:06.500750+00:00,2026-06-18 03:14:10.365740+00:00,2026-06-18 03:14:10.388889+00:00,2026-06-18 03:14:10.388889+00:00,2026-06-18 04:00:24.999836+00:00,2883.86499,2883.86499,5658.499086,2774.610947,2774.610947,1,1,0,0,0,True,1,0,0,2774.610947,2774.610947,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,ddb6dfd1-47e2-4ddd-8175-fa339ed66ff0,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/unet_voc_1gpu.yaml,2026-06-18 02:26:06.501075+00:00,2026-06-18 03:15:11.191874+00:00,2026-06-18 03:15:11.217684+00:00,2026-06-18 03:15:11.217684+00:00,2026-06-18 03:56:13.721183+00:00,2944.690799,2944.690799,5407.220108,2462.503499,2462.503499,1,1,0,0,0,True,1,0,0,2462.503499,2462.503499,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,dbc7c721-70a2-409c-835a-85df6b689b16,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/llama3_width_8layer_wiki_bs1_1gpu.yaml,2026-06-18 02:26:06.501398+00:00,2026-06-18 03:15:14.479671+00:00,2026-06-18 03:15:14.505626+00:00,2026-06-18 03:38:47.961247+00:00,2026-06-18 04:18:43.794941+00:00,2947.978273,4304.947599,6757.293543,3809.289315,2395.833694,2,2,1,1,0,True,2,1,1,2452.294541,2452.294541,56.460847,1356.969326,1356.969326,1356.994774,1356.994774,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,85b26222-b73e-4a7e-a830-a5992584a263,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs32_50e_1gpu.yaml,2026-06-18 02:26:06.501747+00:00,2026-06-18 03:38:50.662764+00:00,2026-06-18 03:38:50.687402+00:00,2026-06-18 03:38:50.687402+00:00,2026-06-18 04:45:41.458422+00:00,4364.161017,4364.161017,8374.956675,4010.77102,4010.77102,1,1,0,0,0,True,1,0,0,4010.77102,4010.77102,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,ec5f1d24-0bee-4e65-ac68-c38a8139005b,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,2026-06-18 02:26:06.502085+00:00,2026-06-18 03:38:53.582358+00:00,2026-06-18 03:38:53.606353+00:00,2026-06-18 03:38:53.606353+00:00,2026-06-18 04:19:50.203667+00:00,4367.080273,4367.080273,6823.701582,2456.597314,2456.597314,1,1,0,0,0,True,1,0,0,2456.597314,2456.597314,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,aa1513f9-68d4-417c-ab0b-fe250b4ff254,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,2026-06-18 02:26:06.502418+00:00,2026-06-18 03:39:30.636816+00:00,2026-06-18 03:39:30.661728+00:00,2026-06-18 03:39:30.661728+00:00,2026-06-18 04:38:06.155854+00:00,4404.134398,4404.134398,7919.653436,3515.494126,3515.494126,1,1,0,0,0,True,1,0,0,3515.494126,3515.494126,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,8cdd3e00-1cdc-440d-94e7-5f9cb8a7443b,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs32_1gpu.yaml,2026-06-18 02:26:06.502761+00:00,2026-06-18 03:40:12.731000+00:00,2026-06-18 03:40:12.755376+00:00,2026-06-18 03:40:12.755376+00:00,2026-06-18 05:04:55.547207+00:00,4446.228239,4446.228239,9529.044446,5082.791831,5082.791831,1,1,0,0,0,True,1,0,0,5082.791831,5082.791831,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,e162ba75-82f1-4a0a-ad6a-0f941fdf71f3,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,2026-06-18 02:26:07.503854+00:00,2026-06-18 03:56:36.039787+00:00,2026-06-18 03:56:36.070319+00:00,2026-06-18 03:56:36.070319+00:00,2026-06-18 04:19:22.631026+00:00,5428.535933,5428.535933,6795.127172,1366.560707,1366.560707,1,1,0,0,0,True,1,0,0,1366.560707,1366.560707,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,8fdd5b49-a9f2-48ce-b7c6-41b229c27128,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_50e_1gpu.yaml,2026-06-18 02:26:07.504407+00:00,2026-06-18 03:57:18.185240+00:00,2026-06-18 03:57:18.206210+00:00,2026-06-18 03:57:18.206210+00:00,2026-06-18 04:35:49.956833+00:00,5470.680833,5470.680833,7782.452426,2311.750623,2311.750623,1,1,0,0,0,True,1,0,0,2311.750623,2311.750623,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,ea6c868b-8d1f-4698-b25a-b2c3a32d90e4,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs64_20e_1gpu.yaml,2026-06-18 02:28:57.505897+00:00,2026-06-18 04:00:44.054524+00:00,2026-06-18 04:00:44.091707+00:00,2026-06-18 04:00:44.091707+00:00,2026-06-18 04:05:22.607657+00:00,5506.548627,5506.548627,5785.10176,278.51595,278.51595,1,1,0,0,0,True,1,0,0,278.51595,278.51595,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
