experiment_name,run_label,policy,estimator,trace_csv,run_dir,task_id,task_file,submitted_at,first_dispatched_at,first_launched_at,final_successful_launch_at,completed_at,initial_queue_wait_s,total_queue_wait_s,jct_s,execution_span_s,successful_attempt_runtime_s,dispatch_count,launch_count,recovered_dispatch_count,maximum_recovery_count,recovery_stopped_count,completed_successfully,attempt_count,failed_attempt_count,recovered_attempt_count,total_attempt_runtime_s,total_execution_time_s,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,configuration_label
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,2d2c49bc-453e-4a44-9c55-9cf1673c0bc7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,2026-06-20 12:40:21.634199+00:00,2026-06-20 12:40:22.410928+00:00,2026-06-20 12:40:22.436136+00:00,2026-06-20 12:40:22.436136+00:00,2026-06-20 13:29:15.494219+00:00,0.776729,0.776729,2933.86002,2933.058083,2933.058083,1,1,0,0,0,True,1,0,0,2933.058083,2933.058083,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,b1a36aae-ee4e-4cfa-946d-85cf5991edd1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,2026-06-20 12:50:16.635712+00:00,2026-06-20 12:50:18.320711+00:00,2026-06-20 12:50:18.344482+00:00,2026-06-20 12:50:18.344482+00:00,2026-06-20 13:25:21.516184+00:00,1.684999,1.684999,2104.880472,2103.171702,2103.171702,1,1,0,0,0,True,1,0,0,2103.171702,2103.171702,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,b4152a24-de0c-45e4-b57c-5ccb17ca5bc8,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs32_1gpu.yaml,2026-06-20 12:51:23.636484+00:00,2026-06-20 12:51:25.501952+00:00,2026-06-20 12:51:25.526501+00:00,2026-06-20 12:51:25.526501+00:00,2026-06-20 13:42:42.362820+00:00,1.865468,1.865468,3078.726336,3076.836319,3076.836319,1,1,0,0,0,True,1,0,0,3076.836319,3076.836319,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,e006af4e-186d-49e9-a925-0749f736febc,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,2026-06-20 12:51:23.637018+00:00,2026-06-20 13:25:21.876009+00:00,2026-06-20 13:25:21.901356+00:00,2026-06-20 13:25:21.901356+00:00,2026-06-20 13:43:23.501091+00:00,2038.238991,2038.238991,3119.864073,1081.599735,1081.599735,1,1,0,0,0,True,1,0,0,1081.599735,1081.599735,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,5a1c2108-79e5-4031-aa3c-feb16315fae1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs32_1gpu.yaml,2026-06-20 13:18:01.638154+00:00,2026-06-20 13:29:16.482261+00:00,2026-06-20 13:29:16.505183+00:00,2026-06-20 13:29:16.505183+00:00,2026-06-20 14:04:17.631922+00:00,674.844107,674.844107,2775.993768,2101.126739,2101.126739,1,1,0,0,0,True,1,0,0,2101.126739,2101.126739,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,e8d91e3b-cab3-445e-b177-c89e4d5d9ad3,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/llama3_width_8layer_wiki_bs1_1gpu.yaml,2026-06-20 13:29:56.638889+00:00,2026-06-20 13:42:42.766592+00:00,2026-06-20 13:42:42.794254+00:00,2026-06-20 13:42:42.794254+00:00,2026-06-20 14:22:38.844702+00:00,766.127703,766.127703,3162.205813,2396.050448,2396.050448,1,1,0,0,0,True,1,0,0,2396.050448,2396.050448,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,4ca5f30c-2f57-4b8c-8bca-0b5ad8c901a4,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs32_1gpu.yaml,2026-06-20 13:33:11.640057+00:00,2026-06-20 13:43:24.960412+00:00,2026-06-20 13:43:24.990125+00:00,2026-06-20 13:43:24.990125+00:00,2026-06-20 14:34:12.799639+00:00,613.320355,613.320355,3661.159582,3047.809514,3047.809514,1,1,0,0,0,True,1,0,0,3047.809514,3047.809514,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,f4faedab-8591-43da-9ced-5cccadc61b98,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_base_cased_wiki_bs8_2gpu.yaml,2026-06-20 13:41:06.640696+00:00,2026-06-20 14:22:40.077295+00:00,2026-06-20 14:22:40.103520+00:00,2026-06-20 14:22:40.103520+00:00,2026-06-20 15:22:11.403667+00:00,2493.436599,2493.436599,6064.762971,3571.300147,3571.300147,1,1,0,0,0,True,1,0,0,3571.300147,3571.300147,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,cd6e2d97-19cb-4fdb-96c5-694751a6afb4,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,2026-06-20 14:01:38.642226+00:00,2026-06-20 14:34:13.260176+00:00,2026-06-20 14:34:13.287162+00:00,2026-06-20 14:34:13.287162+00:00,2026-06-20 15:06:59.203392+00:00,1954.61795,1954.61795,3920.561166,1965.91623,1965.91623,1,1,0,0,0,True,1,0,0,1965.91623,1965.91623,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,25dd04f3-e241-4871-bf2e-53ea7852f66e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,2026-06-20 14:02:22.643005+00:00,2026-06-20 15:06:58.899134+00:00,2026-06-20 15:06:58.926569+00:00,2026-06-20 15:06:58.926569+00:00,2026-06-20 15:35:32.160419+00:00,3876.256129,3876.256129,5589.517414,1713.23385,1713.23385,1,1,0,0,0,True,1,0,0,1713.23385,1713.23385,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,c1fa1c21-0d70-4694-a38b-8b5c05a96826,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,2026-06-20 14:20:50.644137+00:00,2026-06-20 15:22:13.046170+00:00,2026-06-20 15:22:13.069459+00:00,2026-06-20 15:22:13.069459+00:00,2026-06-20 17:14:03.937846+00:00,3682.402033,3682.402033,10393.293709,6710.868387,6710.868387,1,1,0,0,0,True,1,0,0,6710.868387,6710.868387,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,af84e1cc-e21a-4c15-bcb2-c3e23421bf9f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,2026-06-20 14:28:47.741148+00:00,2026-06-20 15:22:15.277468+00:00,2026-06-20 15:22:15.300958+00:00,2026-06-20 15:22:15.300958+00:00,2026-06-20 16:07:42.807930+00:00,3207.53632,3207.53632,5935.066782,2727.506972,2727.506972,1,1,0,0,0,True,1,0,0,2727.506972,2727.506972,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,892d2161-f3b2-46b9-bea3-50fd293593b6,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,2026-06-20 14:28:59.667817+00:00,2026-06-20 16:07:44.424605+00:00,2026-06-20 16:07:44.450801+00:00,2026-06-20 16:07:44.450801+00:00,2026-06-20 17:14:43.266909+00:00,5924.756788,5924.756788,9943.599092,4018.816108,4018.816108,1,1,0,0,0,True,1,0,0,4018.816108,4018.816108,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,0f3f6dcc-bb52-4cbc-badd-ea2182395ccf,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,2026-06-20 14:50:25.668631+00:00,2026-06-20 17:14:05.363783+00:00,2026-06-20 17:14:05.391163+00:00,2026-06-20 17:14:05.391163+00:00,2026-06-20 17:45:53.539650+00:00,8619.695152,8619.695152,10527.871019,1908.148487,1908.148487,1,1,0,0,0,True,1,0,0,1908.148487,1908.148487,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,48ecf1ae-4809-43f2-9435-c854cfb570c1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_xl_wiki_bs2_1gpu.yaml,2026-06-20 15:05:17.669484+00:00,2026-06-20 17:14:44.058361+00:00,2026-06-20 17:14:44.087043+00:00,2026-06-20 17:14:44.087043+00:00,2026-06-20 21:22:54.968023+00:00,7766.388877,7766.388877,22657.298539,14890.88098,14890.88098,1,1,0,0,0,True,1,0,0,14890.88098,14890.88098,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,be67ab16-c7f2-4500-855a-683497b49ff1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,2026-06-20 15:07:55.670197+00:00,2026-06-20 17:14:46.779038+00:00,2026-06-20 17:14:46.809655+00:00,2026-06-20 17:14:46.809655+00:00,2026-06-20 17:50:22.994665+00:00,7611.108841,7611.108841,9747.324468,2136.18501,2136.18501,1,1,0,0,0,True,1,0,0,2136.18501,2136.18501,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,a54e6fb6-b979-4aa0-8621-12833b758fcd,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,2026-06-20 15:08:13.712132+00:00,2026-06-20 17:45:54.474172+00:00,2026-06-20 17:45:54.500066+00:00,2026-06-20 17:45:54.500066+00:00,2026-06-20 18:13:41.017900+00:00,9460.76204,9460.76204,11127.305768,1666.517834,1666.517834,1,1,0,0,0,True,1,0,0,1666.517834,1666.517834,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,b72ba80e-51e9-42ae-b81d-0fa841fac56a,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_50e_1gpu.yaml,2026-06-20 15:14:31.709689+00:00,2026-06-20 17:50:24.626774+00:00,2026-06-20 17:50:24.653844+00:00,2026-06-20 17:50:24.653844+00:00,2026-06-20 18:36:50.319756+00:00,9352.917085,9352.917085,12138.610067,2785.665912,2785.665912,1,1,0,0,0,True,1,0,0,2785.665912,2785.665912,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,765cb83d-595f-428a-b621-206f1f934a79,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_large_wiki_bs8_1gpu.yaml,2026-06-20 15:49:54.710805+00:00,2026-06-20 18:13:40.986915+00:00,2026-06-20 18:13:41.014962+00:00,2026-06-20 18:13:41.014962+00:00,2026-06-20 18:59:45.060572+00:00,8626.27611,8626.27611,11390.349767,2764.04561,2764.04561,1,1,0,0,0,True,1,0,0,2764.04561,2764.04561,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,439b4788-b7aa-4c56-bd45-f277bec04c35,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs64_1gpu.yaml,2026-06-20 15:51:58.711900+00:00,2026-06-20 18:36:51.323101+00:00,2026-06-20 18:36:51.351076+00:00,2026-06-20 18:36:51.351076+00:00,2026-06-20 19:24:38.150932+00:00,9892.611201,9892.611201,12759.439032,2866.799856,2866.799856,1,1,0,0,0,True,1,0,0,2866.799856,2866.799856,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,61c31ab6-f3da-4152-be16-6bd7e4e934a2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/unet_voc_1gpu.yaml,2026-06-20 15:52:33.712934+00:00,2026-06-20 18:59:46.186489+00:00,2026-06-20 18:59:46.211626+00:00,2026-06-20 18:59:46.211626+00:00,2026-06-20 19:31:38.484715+00:00,11232.473555,11232.473555,13144.771781,1912.273089,1912.273089,1,1,0,0,0,True,1,0,0,1912.273089,1912.273089,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,1afa4169-4702-4745-9fab-1861eab67afe,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,2026-06-20 15:55:21.713904+00:00,2026-06-20 19:24:39.402823+00:00,2026-06-20 19:24:39.436231+00:00,2026-06-20 19:24:39.436231+00:00,2026-06-20 19:57:41.740461+00:00,12557.688919,12557.688919,14540.026557,1982.30423,1982.30423,1,1,0,0,0,True,1,0,0,1982.30423,1982.30423,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,01dcc3fb-f2e2-4695-8ed0-c669a93c2969,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs32_50e_1gpu.yaml,2026-06-20 15:55:42.714410+00:00,2026-06-20 19:31:38.009555+00:00,2026-06-20 19:31:38.043330+00:00,2026-06-20 19:31:38.043330+00:00,2026-06-20 19:58:52.301865+00:00,12955.295145,12955.295145,14589.587455,1634.258535,1634.258535,1,1,0,0,0,True,1,0,0,1634.258535,1634.258535,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,c9ee7fa9-ae48-47d5-b7a5-64aefbe313cd,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,2026-06-20 16:13:18.716044+00:00,2026-06-20 19:57:43.017945+00:00,2026-06-20 19:57:43.048837+00:00,2026-06-20 19:57:43.048837+00:00,2026-06-20 20:43:19.893025+00:00,13464.301901,13464.301901,16201.176981,2736.844188,2736.844188,1,1,0,0,0,True,1,0,0,2736.844188,2736.844188,0,0,0.0,0,0.0,exclusive
